EST,Mean TemperatureF
1/1/14,34
1/2/14,32
1/3/14,18
1/4/14,19
1/5/14,27
1/6/14,27
1/7/14,10
1/8/14,18
1/9/14,31
1/10/14,33
1/11/14,46
1/12/14,40
1/13/14,42
1/14/14,45
1/15/14,39
1/16/14,33
1/17/14,34
1/18/14,28
1/19/14,34
1/20/14,43
1/21/14,27
1/22/14,10
1/23/14,14
1/24/14,13
1/25/14,25
1/26/14,22
1/27/14,33
1/28/14,15
1/29/14,16
1/30/14,17
1/31/14,33
