EST,Mean TemperatureF
1/1/13,39
1/2/13,32
1/3/13,30
1/4/13,33
1/5/13,37
1/6/13,39
1/7/13,37
1/8/13,38
1/9/13,39
1/10/13,45
1/11/13,39
1/12/13,50
1/13/13,44
1/14/13,50
1/15/13,38
1/16/13,37
1/17/13,41
1/18/13,33
1/19/13,41
1/20/13,47
1/21/13,35
1/22/13,22
1/23/13,19
1/24/13,20
1/25/13,17
1/26/13,27
1/27/13,33
1/28/13,36
1/29/13,52
1/30/13,55
1/31/13,46
